フェーズ,到達時間,通過する天体・ランドマーク,距離,演出・メッセージ
1,0.0001秒,太陽系圏境 (ヘリオポーズ),0.002光年,開始0秒で太陽系を脱出
1,0.95秒,オールトの雲 (外縁),1光年,1秒で1光年！未知の領域へ
1,4.0秒,プロキシマ・ケンタウリ,4.2光年,もうお隣の恒星に着きました
1,5.7秒,バーナード星,6.0光年,全天で一番早く動く星を、さらに早く追い抜く
1,7.4秒,ウォルフ359,7.8光年,SF好きにはたまらない赤色矮星
1,8.1秒,シリウス,8.6光年,全天で一番明るい星を瞬殺
1,9.9秒,エリダヌス座イプシロン星,10.5光年,SF小説でおなじみの星系を通過
1,11.3秒,くじら座タウ星,11.9光年,かつて地球外生命体探査で狙われた星
1,15.8秒,アルタイル（彦星）,16.7光年,わし座の彦星を通過！織姫に会いに行きます
1,18.9秒,グリーゼ581,20光年,スーパーアースが存在する赤色矮星
1,23.6秒,ベガ（織姫星）,25光年,わずか8秒で七夕の星をつなぎました
1,23.6秒,フォーマルハウト,25光年,秋の夜空の孤独な一等星（ベガとほぼ同距離）
1,32.2秒,ポルックス,34光年,ふたご座の弟星を通過
1,34.7秒,アルクトゥルス,36.7光年,オレンジ色の巨星を横目に爆走中
1,40.6秒,カペラ,42.9光年,ぎょしゃ座の連星をあっさり通過
1,48.2秒,カストル,51光年,ふたご座の兄星も通過。双子コンプリート！
1,1分1秒,アルデバラン,65光年,おうし座の赤い目を通過。集中できてますか？
1,1分14秒,レグルス,79光年,しし座の心臓。王の星を越えました
1,1分38秒,アルカイド,104光年,北斗七星のひしゃくの柄の先端！
1,2分24秒,ヒアデス星団,153光年,おうし座のV字型を形作る星団を通過
1,3分56秒,スピカ,250光年,おとめ座の真珠と呼ばれる青白い星を通過
1,6分49秒,北極星（ポラリス）,433光年,常に北を示す星を追い抜きました。道は合ってます！
1,7分0秒,プレアデス星団（すばる）,444光年,美しい星団を猛スピードで駆け抜けています
1,8分40秒,アンタレス,550光年,さそり座の心臓、巨大な赤い星に接近
1,9分10秒,ケプラー186f,582光年,生命が存在するかもしれない系外惑星を発見
